step,episode,episode_return,episode_len,epsilon,success
40177,630,-0.6400,64,0.7455,0
40241,631,-0.6400,64,0.7451,0
40305,632,-0.6400,64,0.7447,0
40348,633,0.5800,43,0.7445,1
40412,634,-0.6400,64,0.7441,0
40476,635,-0.6400,64,0.7437,0
40540,636,-0.6400,64,0.7432,0
40604,637,-0.6400,64,0.7428,0
40645,638,0.6000,41,0.7426,1
40685,639,0.6100,40,0.7423,1
40749,640,-0.6400,64,0.7419,0
40813,641,-0.6400,64,0.7415,0
40877,642,-0.6400,64,0.7411,0
40941,643,-0.6400,64,0.7407,0
41005,644,-0.6400,64,0.7403,0
41069,645,-0.6400,64,0.7399,0
41133,646,-0.6400,64,0.7395,0
41197,647,-0.6400,64,0.7391,0
41261,648,-0.6400,64,0.7387,0
41325,649,-0.6400,64,0.7383,0
41389,650,-0.6400,64,0.7379,0
41453,651,-0.6400,64,0.7375,0
41517,652,-0.6400,64,0.7371,0
41581,653,-0.6400,64,0.7367,0
41645,654,-0.6400,64,0.7362,0
41709,655,-0.6400,64,0.7358,0
41773,656,-0.6400,64,0.7354,0
41837,657,-0.6400,64,0.7350,0
41901,658,-0.6400,64,0.7346,0
41965,659,-0.6400,64,0.7342,0
42029,660,-0.6400,64,0.7338,0
42093,661,-0.6400,64,0.7334,0
42157,662,-0.6400,64,0.7330,0
42221,663,-0.6400,64,0.7326,0
42285,664,-0.6400,64,0.7322,0
42349,665,-0.6400,64,0.7318,0
42413,666,-0.6400,64,0.7314,0
42477,667,-0.6400,64,0.7310,0
42541,668,-0.6400,64,0.7306,0
42573,669,0.6900,32,0.7304,1
42637,670,-0.6400,64,0.7300,0
42701,671,-0.6400,64,0.7296,0
42765,672,-0.6400,64,0.7292,0
42829,673,-0.6400,64,0.7287,0
42893,674,-0.6400,64,0.7283,0
42957,675,-0.6400,64,0.7279,0
43021,676,-0.6400,64,0.7275,0
43085,677,-0.6400,64,0.7271,0
43149,678,-0.6400,64,0.7267,0
43213,679,-0.6400,64,0.7263,0
43277,680,-0.6400,64,0.7259,0
43341,681,-0.6400,64,0.7255,0
43405,682,-0.6400,64,0.7251,0
43464,683,0.4200,59,0.7247,1
43528,684,-0.6400,64,0.7243,0
43592,685,-0.6400,64,0.7239,0
43656,686,-0.6400,64,0.7235,0
43720,687,-0.6400,64,0.7231,0
43784,688,-0.6400,64,0.7227,0
43848,689,-0.6400,64,0.7223,0
43912,690,-0.6400,64,0.7219,0
43976,691,-0.6400,64,0.7215,0
44040,692,-0.6400,64,0.7211,0
44104,693,-0.6400,64,0.7207,0
44168,694,-0.6400,64,0.7203,0
